ID,Name,Statsgains,,,,,,Evolution Requirements,,,,,,,,,,,,,,Paths,,,,,,,,,,
,,HP,MP,Offense,Defense,Speed,Brains,Bonus,HP,MP,Offense,Defense,Speed,Brains,Care,Weight,Disc,Happy,Battles,Techs,Flags,From#1,From#2,From#3,From#4,From#5,To#1,To#2,To#3,To#4,To#5,To#6
1,Botamon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,Koromon,,,
2,Koromon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,Botamon,,,,,Agumon,Gabumon,,
3,Agumon,1000,500,100,50,50,50,Koromon,1,1,1,-1,-1,-1,0,15,-1,-1,-1,-1,0,,,Koromon,,,Greymon,Meramon,Birdramon,Centarumon,Monochromon,Tyrannomon
4,Betamon,1000,500,50,100,50,50,Tanemon,1,1,-1,1,-1,-1,0,15,-1,-1,-2,0,0,,,Tanemon,,,,Seadramon,Whamon,Shellmon,Coelamon,
5,Greymon,2000,1500,200,200,200,200,,-1,-1,100,100,100,100,1,30,90,-1,-1,35,16,,,Agumon,,,,,MetalGreymon,SkullGreymon,,
6,Devimon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,SkullGreymon,Megadramon,,
7,Airdramon,1500,2000,150,150,200,200,,-1,100,-1,-1,100,100,1,30,90,-1,-1,35,16,,,Biyomon,,,,,Megadramon,Phoenixmon,,
8,Tyrannomon,2000,1500,150,200,150,150,,100,-1,-1,100,-1,-1,5,30,-1,-1,5,28,17,,Agumon,Gabumon,Patamon,,,,MetalGreymon,Megadramon,,
9,Meramon,1000,1500,250,150,150,150,,-1,-1,100,-1,-1,-1,5,20,-1,-1,10,28,0,,,Agumon,,,,,MetalGreymon,Andromon,,
10,Seadramon,2000,2000,150,150,100,150,,100,100,-1,-1,-1,-1,3,30,-1,-1,5,28,1,,,Betamon,,,,,Megadramon,MegaSeadramon,,
11,Numemon,0,0,0,0,0,8,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,Monzaemon,,,
12,MetalGreymon,5000,5000,500,500,500,500,,400,300,500,500,300,300,10,65,95,-1,30,30,16,Greymon,Meramon,Monochromon,Drimogemon,Tyrannomon,,,,,,
13,Mamemon,3000,3000,600,500,500,600,,-1,-1,400,300,300,400,15,5,-1,90,-1,25,0,Leomon,Ninjamon,Whamon,Frigimon,Mojyamon,,,,,,
14,Monzaemon,5000,5000,500,500,500,500,,300,300,300,300,300,300,0,40,-1,-1,50,49,16,,,Numemon,,,,,,,,
15,Punimon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,,,,,,Tsunomon,,,
16,Tsunomon,0,0,0,0,0,10,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,,,Punimon,,,,,Elecmon,Penguinmon,,
17,Gabumon,500,500,50,100,100,50,Koromon,-1,-1,-1,1,1,1,0,15,-1,-1,-2,0,0,,,Koromon,,,Centarumon,Monochromon,Drimogemon,Tyrannomon,Ogremon,Garurumon
18,Elecmon,500,500,100,50,100,50,Tsunomon,1,-1,1,-1,1,-1,0,15,-1,-1,-2,0,0,,,Tsunomon,,,,Leomon,Angemon,Bakemon,Kokatorimon,
19,Kabuterimon,2000,1500,200,200,200,100,Kunemon,100,100,100,-1,100,-1,1,30,-1,-1,-1,35,16,,Biyomon,Kunemon,,,,,H-Kabuterimon,MetalMamemon,,
20,Angemon,1500,2000,150,150,150,250,Patamon,-1,100,-1,-1,-1,100,0,20,-1,-1,-1,35,16,,Patamon,Elecmon,,,,,Andromon,Phoenixmon,,
21,Birdramon,1500,1500,150,100,250,150,Biyomon,-1,-1,-1,-1,100,-1,3,20,-1,-1,-1,35,0,,Agumon,Biyomon,,,,,Phoenixmon,,,
22,Garurumon,1500,1500,150,200,150,150,,-1,100,-1,-1,100,-1,1,30,90,-1,-1,28,16,,Gabumon,Penguinmon,,,,,SkullGreymon,MegaSeadramon,,
23,Frigimon,1500,2000,100,150,150,200,,-1,100,-1,-1,-1,100,5,30,-1,50,-1,28,16,,,Penguinmon,,,,,MetalMamemon,Mamemon,,
24,Whamon,2500,1500,100,150,100,200,,100,-1,-1,-1,-1,100,5,40,60,-1,-1,28,16,,Palmon,Betamon,Penguinmon,,,,MegaSeadramon,Mamemon,,
25,Vegiemon,1500,2000,100,150,150,100,,-1,100,-1,-1,-1,-1,5,10,-1,50,-1,21,0,,Kunemon,Palmon,,,,,Piximon,,,
26,SkullGreymon,5000,5000,600,600,400,400,,400,600,400,400,200,500,10,30,-1,-1,40,45,0,Greymon,Devimon,Bakemon,Garurumon,Mojyamon,,,,,,
